,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,run_type,model_name,holdout_number
0,0.49995967745780945,0.7441053986549377,0.0,0.0,0.7873847484588623,0.4698742926120758,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,0
1,0.5192159414291382,0.7441056966781616,0.0,0.0,0.7395554184913635,0.422865629196167,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,0
0,0.4402451813220978,0.7441053986549377,0.0,0.0,0.8180440664291382,0.519270122051239,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,1
1,0.49312105774879456,0.7441056966781616,0.0,0.0,0.7494054436683655,0.45329007506370544,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,1
0,0.4351244866847992,0.7441053986549377,0.0,0.0,0.8271810412406921,0.5321528315544128,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,2
1,0.4962051212787628,0.7441056966781616,0.0,0.0,0.7451661825180054,0.4485672414302826,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,2
0,0.4504842460155487,0.7441053986549377,0.0,0.0,0.8205479979515076,0.5210832357406616,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,3
1,0.48896411061286926,0.7441056966781616,0.0,0.0,0.7565197944641113,0.4513809084892273,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,3
0,0.3840968608856201,0.8004105091094971,0.30253827571868896,0.7857233285903931,0.8829951882362366,0.6941671371459961,0.4368644058704376,0.6370824575424194,0.9716265797615051,0.697461724281311,0.028373446315526962,0.4014192521572113,train,CNN,4
1,0.49771642684936523,0.7591730356216431,0.2136150300502777,0.5799256563186646,0.7568486332893372,0.492849737405777,0.31222301721572876,0.5802013874053955,0.9467877745628357,0.7863849997520447,0.0532122440636158,0.2395506352186203,test,CNN,4
0,0.482185959815979,0.7441053986549377,0.0,0.0,0.7873316407203674,0.4843844771385193,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,5
1,0.49819982051849365,0.7441056966781616,0.0,0.0,0.7565422058105469,0.4576067328453064,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,5
0,0.4068950116634369,0.7795979976654053,0.20937056839466095,0.7476423382759094,0.8627864718437195,0.6387225389480591,0.3271310031414032,0.5925336480140686,0.9756967425346375,0.7906294465065002,0.02430327795445919,0.31309977173805237,train,CNN,6
1,0.4964452385902405,0.7539169788360596,0.1480829417705536,0.5743550658226013,0.7526859045028687,0.47824627161026,0.23545879125595093,0.5551716685295105,0.962260365486145,0.851917028427124,0.03773965686559677,0.19396434724330902,test,CNN,6
0,0.4268192648887634,0.7441053986549377,0.0,0.0,0.8390439748764038,0.5549451112747192,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,7
1,0.49399855732917786,0.7441056966781616,0.0,0.0,0.7504928112030029,0.4600291848182678,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,7
0,0.41394782066345215,0.7441053986549377,0.0,0.0,0.8547583222389221,0.567024827003479,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,8
1,0.5043609738349915,0.7441056966781616,0.0,0.0,0.7392259836196899,0.4372626543045044,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,8
0,0.4484109580516815,0.7441053986549377,0.0,0.0,0.8243422508239746,0.5317301750183105,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,9
1,0.49148550629615784,0.7441056966781616,0.0,0.0,0.7551804780960083,0.46058985590934753,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,9
