,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,tp/t,fp/t,tn/t,fn/t,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,LR_pos,LR_neg,DOR,run_type,model_name,holdout_number
0,0.13119074702262878,0.9633206725120544,0.31728395819664,0.7956656217575073,0.837468147277832,0.5261349081993103,0.45366284251213074,0.6565879583358765,0.9958919286727905,0.6827160716056824,0.004108054097741842,0.4885905981063843,0.015228726901113987,0.003910879138857126,0.948091983795166,0.032768428325653076,0.9665921330451965,0.20433436334133148,0.03340784087777138,0.10216269642114639,0.293379008769989,0.6565879583358765,0.5024459362030029,0.7622577548027039,77.23272705078125,0.6855322122573853,1.9119534492492676,train,MMNN,0
1,0.15764716267585754,0.9533854722976685,0.12335526198148727,0.5681818127632141,0.790222704410553,0.3161032199859619,0.20270270109176636,0.5593122839927673,0.9952692985534668,0.8766447305679321,0.004730682820081711,0.24970436096191406,0.00592557480558753,0.004503436852246523,0.947459876537323,0.04211108386516571,0.9574450850486755,0.4318181872367859,0.042554888874292374,0.16376204788684845,0.11278195679187775,0.5593122839927673,0.26474177837371826,0.5256268978118896,26.07501983642578,0.8808114528656006,1.2691805362701416,test,MMNN,0
0,0.1446811854839325,0.9577704071998596,0.17818930745124817,0.7543553709983826,0.8186586499214172,0.42587029933929443,0.2882823050022125,0.5876319408416748,0.997074544429779,0.8218107223510742,0.0029254325199872255,0.3538626432418823,0.008552579209208488,0.0027850200422108173,0.9492177963256836,0.03944457694888115,0.9601030945777893,0.24564459919929504,0.03989691287279129,0.1135784164071083,0.16841696202754974,0.5876319408416748,0.3666306734085083,0.7144584655761719,60.9083366394043,0.8242218494415283,1.4250178337097168,train,MMNN,1
1,0.15404656529426575,0.9553606510162354,0.11513157933950424,0.7216494679450989,0.796722948551178,0.35818159580230713,0.19858156144618988,0.5564453601837158,0.9977591633796692,0.8848684430122375,0.002240849891677499,0.2768247127532959,0.005530536640435457,0.002133206930011511,0.9498301148414612,0.04250612482428551,0.9571655988693237,0.27835050225257874,0.04283439368009567,0.12243033200502396,0.11023622006177902,0.5564453601837158,0.2882440686225891,0.6788150668144226,51.376243591308594,0.8868556618690491,1.2545135021209717,test,MMNN,1
0,0.1285598874092102,0.9629454016685486,0.4086419641971588,0.6934357285499573,0.8555574417114258,0.5369651317596436,0.5142413377761841,0.6997668743133545,0.9908917546272278,0.5913580060005188,0.00910826213657856,0.5151511430740356,0.019613653421401978,0.008671090938150883,0.943331778049469,0.02838350273668766,0.9707903265953064,0.30656424164772034,0.029209692031145096,0.1299014836549759,0.3461136221885681,0.6997668743133545,0.5323222279548645,0.6642260551452637,44.86448669433594,0.5967936515808105,2.330744504928589,train,MMNN,2
1,0.15648747980594635,0.9529904127120972,0.22039473056793213,0.5254902243614197,0.7953252792358398,0.3349643647670746,0.31054461002349854,0.6051762104034424,0.9899576902389526,0.7796052694320679,0.010042327456176281,0.3201539218425751,0.010587027296423912,0.009559927508234978,0.9424034357070923,0.037449631839990616,0.9617803692817688,0.4745098054409027,0.0382196418941021,0.17591001093387604,0.1838134378194809,0.6051762104034424,0.34031644463539124,0.4872705936431885,21.946361541748047,0.7875136137008667,1.5327751636505127,test,MMNN,2
0,0.1353597342967987,0.9613850116729736,0.24032922089099884,0.8427128195762634,0.8318783640861511,0.5046350359916687,0.37399935722351074,0.6190338730812073,0.9977384805679321,0.7596707940101624,0.0022615045309066772,0.4379746615886688,0.011535119265317917,0.0021529588848352432,0.9498499035835266,0.03646203503012657,0.9630319476127625,0.15728715062141418,0.036968059837818146,0.0884275734424591,0.23001182079315186,0.6190338730812073,0.45003169775009155,0.8057447671890259,106.26492309570312,0.7613925933837891,1.624904990196228,train,MMNN,3
1,0.15721674263477325,0.9550446271896362,0.11019736528396606,0.7052631378173828,0.7994721531867981,0.34345000982284546,0.19061166048049927,0.5539367198944092,0.9976761341094971,0.8898026347160339,0.00232384423725307,0.2672704756259918,0.005293513648211956,0.0022122145164757967,0.9497511386871338,0.042743146419525146,0.9569336175918579,0.2947368323802948,0.04306638985872269,0.12680360674858093,0.10534591227769852,0.5539367198944092,0.2787797451019287,0.6621967554092407,47.418251037597656,0.891875147819519,1.2418344020843506,test,MMNN,3
0,0.13063538074493408,0.9631232023239136,0.30576130747795105,0.8049837350845337,0.8442064523696899,0.5259521007537842,0.4431852102279663,0.6510133743286133,0.9962654113769531,0.6942386627197266,0.0037345949094742537,0.4825720489025116,0.014675673097372055,0.003555344883352518,0.9484475255012512,0.033321481198072433,0.9660597443580627,0.19501625001430511,0.03394024819135666,0.09951867908239365,0.2846743166446686,0.6510133743286133,0.49611780047416687,0.7710434794425964,81.87049102783203,0.6968410015106201,1.8654390573501587,train,MMNN,4
1,0.15676285326480865,0.9536225199699402,0.125,0.580152690410614,0.797201931476593,0.3169163167476654,0.20568335056304932,0.5602176189422607,0.9954352974891663,0.875,0.004564694128930569,0.2544715702533722,0.00600458262488246,0.004345421679317951,0.9476179480552673,0.04203207790851593,0.9575283527374268,0.4198473393917084,0.04247165843844414,0.16043692827224731,0.11463046818971634,0.5602176189422607,0.2692936658859253,0.5376810431480408,27.38348960876465,0.8790123462677002,1.273851752281189,test,MMNN,4
