,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,run_type,model_name,holdout_number
0,0.027508007362484932,0.989333987236023,0.0699300691485405,0.8333333134651184,0.9787009954452515,0.5151177644729614,0.12903225421905518,0.5348851084709167,0.9998401999473572,0.9300699234008789,0.00015982100740075111,0.23959973454475403,train,CNN,0
1,0.06306062638759613,0.9885438680648804,0.0139860138297081,0.3333333432674408,0.7829635739326477,0.10057569295167923,0.02684563770890236,0.5068331956863403,0.9996803402900696,0.9860140085220337,0.00031964201480150223,0.06635616719722748,test,CNN,0
0,0.03558361902832985,0.9887018799781799,0.0,0.0,0.9382286667823792,0.36324939131736755,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,1
1,0.07904467731714249,0.9887018799781799,0.0,0.0,0.6801090240478516,0.0633590817451477,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,1
0,0.026643121615052223,0.9887216687202454,0.0017482517287135124,1.0,0.9831397533416748,0.5980488657951355,0.0034904014319181442,0.5008741021156311,1.0,0.998251736164093,0.0,0.04157564416527748,train,CNN,2
1,0.0662919133901596,0.9887018799781799,0.0,0.0,0.7244841456413269,0.059392765164375305,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,2
0,0.03385733813047409,0.9887611865997314,0.005244755186140537,1.0,0.9552783966064453,0.3402807116508484,0.010434783063828945,0.5026223659515381,1.0,0.9947552680969238,0.0,0.07201255112886429,train,CNN,3
1,0.07188694179058075,0.9887018799781799,0.0,0.0,0.688234806060791,0.06797274202108383,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,3
0,0.03919413313269615,0.9887018799781799,0.0,0.0,0.9213392734527588,0.3101687431335449,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,4
1,0.0667540654540062,0.9886229038238525,0.0,0.0,0.7096606492996216,0.092880479991436,0.0,0.4999600350856781,0.9999200701713562,1.0,7.991050370037556e-05,-0.0009502146276645362,test,CNN,4
0,0.02070598490536213,0.9887216687202454,0.0017482517287135124,1.0,0.9929541945457458,0.6981545090675354,0.0034904014319181442,0.5008741021156311,1.0,0.998251736164093,0.0,0.04157564416527748,train,CNN,5
1,0.08967135101556778,0.9887018799781799,0.0,0.0,0.6687840223312378,0.05922230705618858,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,5
0,0.03804348409175873,0.9887216687202454,0.0017482517287135124,1.0,0.9431145787239075,0.4102945923805237,0.0034904014319181442,0.5008741021156311,1.0,0.998251736164093,0.0,0.04157564416527748,train,CNN,6
1,0.08247319608926773,0.9887018799781799,0.0,0.0,0.638219952583313,0.06097906827926636,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,6
0,0.03746414929628372,0.9887611865997314,0.00699300691485405,0.800000011920929,0.9233997464179993,0.3280424475669861,0.013864818029105663,0.5034865140914917,0.9999800324440002,0.9930070042610168,1.997762592509389e-05,0.07416322827339172,train,CNN,7
1,0.07056940346956253,0.9886229038238525,0.0,0.0,0.6802487969398499,0.05342719331383705,0.0,0.4999600350856781,0.9999200701713562,1.0,7.991050370037556e-05,-0.0009502146276645362,test,CNN,7
0,0.03762134164571762,0.9887018799781799,0.0,0.0,0.9225268959999084,0.3168492019176483,0.0,0.5,1.0,1.0,0.0,0.0,train,CNN,8
1,0.08001758903265,0.9887018799781799,0.0,0.0,0.6804044246673584,0.06818775832653046,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,8
0,0.02376658469438553,0.988741397857666,0.003496503457427025,1.0,0.9918229579925537,0.7367187142372131,0.006968641187995672,0.501748263835907,1.0,0.996503472328186,0.0,0.05879741534590721,train,CNN,9
1,0.07753179967403412,0.9887018799781799,0.0,0.0,0.7034645080566406,0.07472124695777893,0.0,0.5,1.0,1.0,0.0,0.0,test,CNN,9
